Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
9023918,No disponible,No disponible,No disponible
1229684,"minerales, miel, piedra","melocotón, manzana, alb...","limón, cítrico, lima"
1690177,"miel, minerales, piedra","melocotón, pera, albari...","cítrico, limón, cáscara..."
2574273,"miel, minerales, humo","albaricoque, manzana, p...","mango, fruta de la pasi..."
1634474,"mantequilla, roble, vai...","miel, minerales, piedra","cítrico, lima, piel de ..."
1774546,"minerales, miel, petról...","melocotón, manzana, man...","cítrico, limón, pomelo"
6232381,"cítrico, lima, limón","manzana, melocotón, alb...","piña, tropical, mango"
1679736,"melocotón, albaricoque,...","miel, piedra, minerales","lichi, tropical, piña"
10741474,No disponible,No disponible,No disponible
1675680,"melocotón, albaricoque,...","lichi, tropical, mango","miel, minerales, jengib..."
1271222,"roble, mantequilla, vai...","melocotón, manzana, man...","minerales, miel, humo"
87188,"roble, mantequilla, vai...","manzana verde, melocotó...","minerales, miel, piedra"
1207681,"roble, mantequilla, vai...","melocotón, manzana, per...","cítrico, limón, pomelo"
4835041,"manzana, pera, manzana ...","limón, cítrico, pomelo","miel, minerales, piedra"
1747214,"minerales, miel, piedra","cítrico, lima, limón","melocotón, drupa, manza..."
779454,"pera, manzana, melocotó...","minerales, miel, piedra","cítrico, limón, lima"
1137078,"miel, piedra, Terroso","pera, melocotón, drupa","cítrico, limón"
2015576,"miel, piedra, cacao","caramelo, vainilla, man...","cítrico, cáscara de nar..."
2562364,"nuez, sabor a nuez, tos...","cítrico, limón, naranja","manzana, albaricoque, c..."
1214165,"caramelo, café, chocola...","sabor a nuez, nuez","minerales, piedra"
8778662,"melocotón blanco, albar...","piedra, minerales, piza...","lima, limón"
1799371,"melocotón, pera, manzan...","piedra, minerales, miel","cítrico, limón, pomelo"
5545132,"mantequilla, roble, nue...","limón, lima","miel, tiza, Terroso"
1683261,"melocotón, manzana, alb...","minerales, miel, piedra","roble, mantequilla, vai..."
1100052,"cítrico, limón, lima","grosella espinosa, hier...","sílex, minerales, humo"
1396952,"melocotón, albaricoque,...","miel, minerales, jengib...","naranja, cítrico, piel ..."
1147768,"naranja, cáscara de nar...","miel, minerales, petról...","almendra, castaña, sabo..."
1214144,"roble, mantequilla, vai...","manzana verde, drupa, m...","cítrico, limón, lima"
5869935,"miel, minerales","albaricoque, melocotón,...","roble, mantequilla"
2754601,"vainilla, mantequilla, ...","cítrico, limón","minerales, tiza, miel"
4319643,"cera de abejas, miel, h...","roble, mantequilla, vai...","cítrico, limón, cáscara..."
1441980,"roble, vainilla, manteq...","cítrico, pomelo, limón","melocotón, manzana, per..."
2233103,"mantequilla, roble, but...","cítrico, limón, lima","minerales, miel, sílex"
1852109,"miel, minerales, petról...","melocotón, manzana, alb...","cítrico, limón, lima"
1178997,"manzana verde, pera, ma...","minerales, miel, piedra","cítrico, limón, pomelo"
1108988,"melocotón, pera, albari...","mantequilla, roble, vai...","minerales, piedra, miel"
5292435,"roble, mantequilla, vai...","miel, minerales, piedra","albaricoque, melón, mel..."
1612798,"vainilla, roble, manteq...","pera, melocotón, manzan...","miel, piedra, minerales"
76126,"roble, mantequilla, vai...","melocotón, manzana, per...","cítrico, limón, pomelo"
2917651,"manzana, melocotón, per...","minerales, miel, piedra","roble, vainilla, butter..."
7648560,"miel, minerales, sal","cítrico, limón, cáscara...","manzana, melocotón, per..."
79557,"mantequilla, roble, car...","manzana, melón, manzana...","crema, aceite, levadura"
5077197,"melocotón, manzana, alb...","limón, cítrico, pomelo","minerales, caucho"
6885662,"vainilla, roble","aceto balsámico, sílex,...","manzana, manzana verde,..."
10559956,"sílex, hongo, pizarra","cítrico, limón, lima",roble
1221633,"cítrico, pomelo, limón","pera, albaricoque, manz...","minerales, piedra, síle..."
1213023,"roble, mantequilla, vai...","pera, melocotón, manzan...","minerales, miel, piedra"
1164660,"minerales, petróleo, mi...","melocotón, pera, manzan...","cítrico, limón, lima"
1178834,"naranja, cítrico, cásca...","miel, minerales, humo","albaricoque, manzana, m..."
